[BrainBitSignalData(PackNum=0, Marker=0, O1=0.1836000286102568, O2=0.20896016021743796, T3=0.15860381946927973, T4=0.23544066948000858), BrainBitSignalData(PackNum=0, Marker=0, O1=0.17110001668931646, O2=0.19646014829649763, T3=0.1461038075483394, T4=0.22294065755906828)]
[BrainBitSignalData(PackNum=1, Marker=0, O1=0.1826265169396562, O2=0.2078542784254822, T3=0.15776153350976324, T4=0.23414595999332427), BrainBitSignalData(PackNum=1, Marker=0, O1=0.1816728417137544, O2=0.20678730658274325, T3=0.15694060987530697, T4=0.2328665093102544)]
[BrainBitSignalData(PackNum=2, Marker=0, O1=0.18071992942803328, O2=0.20566235128626947, T3=0.15606742483847127, T4=0.23164008296974467), BrainBitSignalData(PackNum=2, Marker=0, O1=0.17977121331330617, O2=0.20459804973416304, T3=0.15525527501609326, T4=0.23043654483465656)]
[BrainBitSignalData(PackNum=3, Marker=0, O1=0.17890642061845838, O2=0.20361194955058057, T3=0.15449576806618506, T4=0.22931616717926712), BrainBitSignalData(PackNum=3, Marker=0, O1=0.17808625992418284, O2=0.2026899363421787, T3=0.15376944901413825, T4=0.22819006747252224)]
[BrainBitSignalData(PackNum=4, Marker=0, O1=0.17711961471520873, O2=0.20153827813937963, T3=0.15303397467992275, T4=0.2270376463295425), BrainBitSignalData(PackNum=4, Marker=0, O1=0.17633645661969816, O2=0.2006277090336886, T3=0.15233550294447226, T4=0.2259115466227976)]
[BrainBitSignalData(PackNum=5, Marker=0, O1=0.17553765825048281, O2=0.19974880194549746, T3=0.15159278067853993, T4=0.22488386619936582), BrainBitSignalData(PackNum=5, Marker=0, O1=0.17475793338578546, O2=0.1988779057292039, T3=0.15091643420833037, T4=0.22385313401521112)]
[BrainBitSignalData(PackNum=6, Marker=0, O1=0.17391526595617862, O2=0.19784488472450706, T3=0.15024199508857258, T4=0.22278883246310469), BrainBitSignalData(PackNum=6, Marker=0, O1=0.17322861979352933, O2=0.1970838518942374, T3=0.14961981737119423, T4=0.22182295019431134)]
[BrainBitSignalData(PackNum=7, Marker=0, O1=0.17251641513482585, O2=0.19628200176429916, T3=0.14897398850821353, T4=0.22085134587416255), BrainBitSignalData(PackNum=7, Marker=0, O1=0.1718389242543452, O2=0.19550609160050544, T3=0.14836668812435924, T4=0.2199632835038028)]
[BrainBitSignalData(PackNum=8, Marker=0, O1=0.1709420880719071, O2=0.19442729418496532, T3=0.14768118637198102, T4=0.21900236034618412), BrainBitSignalData(PackNum=8, Marker=0, O1=0.17035042796175762, O2=0.19380130176668336, T3=0.14710325918508452, T4=0.21815702262594475)]
[BrainBitSignalData(PackNum=9, Marker=0, O1=0.16972672436401784, O2=0.19308184917626303, T3=0.14651693965620008, T4=0.21727086760603678), BrainBitSignalData(PackNum=9, Marker=0, O1=0.1690499964237179, O2=0.1922593996614453, T3=0.14594130128984575, T4=0.2164041675607372)]
[BrainBitSignalData(PackNum=10, Marker=0, O1=0.168392341987936, O2=0.191522017976778, T3=0.14538473642800945, T4=0.21552678635290753), BrainBitSignalData(PackNum=10, Marker=0, O1=0.16779038218534678, O2=0.19083689769449014, T3=0.14485220418186587, T4=0.2147092959492645)]
