[BrainBitSignalData(PackNum=0, Marker=0, O1=0.4, O2=0.4, T3=0.4, T4=0.4), BrainBitSignalData(PackNum=0, Marker=0, O1=0.38749998807905967, O2=0.38749998807905967, T3=0.38749998807905967, T4=0.38749998807905967)]
[BrainBitSignalData(PackNum=1, Marker=0, O1=0.38846396299740127, O2=0.0, T3=0.0, T4=0.0), BrainBitSignalData(PackNum=1, Marker=0, O1=0.3759639510764609, O2=0.0, T3=0.0, T4=0.0)]
[BrainBitSignalData(PackNum=2, Marker=0, O1=0.0, O2=0.0, T3=0.0, T4=0.0), BrainBitSignalData(PackNum=2, Marker=0, O1=0.012499630450849963, O2=0.012499630450849963, T3=0.012499630450849963, T4=0.012499630450849963)]
[BrainBitSignalData(PackNum=3, Marker=0, O1=0.4, O2=0.4, T3=0.3999217986314761, T4=0.4), BrainBitSignalData(PackNum=3, Marker=0, O1=0.4, O2=0.4, T3=0.38909987363803256, T4=0.4)]
[BrainBitSignalData(PackNum=4, Marker=0, O1=0.4, O2=0.4, T3=0.37922246858832226, T4=0.4), BrainBitSignalData(PackNum=4, Marker=0, O1=0.4, O2=0.4, T3=0.37014653219845983, T4=0.4)]
[BrainBitSignalData(PackNum=5, Marker=0, O1=0.4, O2=0.4, T3=0.3617107026202227, T4=0.4), BrainBitSignalData(PackNum=5, Marker=0, O1=0.4, O2=0.4, T3=0.35385203728870135, T4=0.4)]
[BrainBitSignalData(PackNum=6, Marker=0, O1=0.4, O2=0.4, T3=0.3465198006818778, T4=0.4), BrainBitSignalData(PackNum=6, Marker=0, O1=0.4, O2=0.4, T3=0.339625110268698, T4=0.4)]
[BrainBitSignalData(PackNum=7, Marker=0, O1=0.4, O2=0.4, T3=0.3331099825954271, T4=0.4), BrainBitSignalData(PackNum=7, Marker=0, O1=0.4, O2=0.4, T3=0.32692749684095085, T4=0.4)]
[BrainBitSignalData(PackNum=8, Marker=0, O1=0.4, O2=0.4, T3=0.3210959635696064, T4=0.4), BrainBitSignalData(PackNum=8, Marker=0, O1=0.4, O2=0.4, T3=0.31555282168657467, T4=0.4)]
[BrainBitSignalData(PackNum=9, Marker=0, O1=0.4, O2=0.4, T3=0.3102564909520063, T4=0.4), BrainBitSignalData(PackNum=9, Marker=0, O1=0.4, O2=0.4, T3=0.3052451183749374, T4=0.4)]
[BrainBitSignalData(PackNum=10, Marker=0, O1=0.4, O2=0.4, T3=0.30045042080919343, T4=0.4), BrainBitSignalData(PackNum=10, Marker=0, O1=0.4, O2=0.4, T3=0.29581594068140094, T4=0.4)]
